Repo,Metric,Value,
lisk-node,----------------------------,---------,------------------------------
lisk-node,Overall repository size,,
lisk-node,* Commits,,
lisk-node,* Count,16.8 k,
lisk-node,* Total size,7.43 MiB,
lisk-node,* Trees,,
lisk-node,* Count,69.5 k,
lisk-node,* Total size,230 MiB,
lisk-node,* Total tree entries,4.93 M,
lisk-node,* Blobs,,
lisk-node,* Count,146 k,
lisk-node,* Total size,2.88 GiB,
lisk-node,* Annotated tags,,
lisk-node,* Count,0,
lisk-node,* References,,
lisk-node,* Count,17,
lisk-node,* Branches,1,
lisk-node,* Remote-tracking refs,16,
lisk-node,,,
lisk-node,Biggest objects,,
lisk-node,* Commits,,
lisk-node,* Maximum size         [1],9.11 KiB,
lisk-node,* Maximum parents      [2],2,
lisk-node,* Trees,,
lisk-node,* Maximum entries      [3],1.28 k,*
lisk-node,* Blobs,,
lisk-node,* Maximum size         [4],6.03 MiB,
lisk-node,,,
lisk-node,History structure,,
lisk-node,* Maximum history depth,14.0 k,
lisk-node,* Maximum tag depth,0,
lisk-node,,,
lisk-node,Biggest checkouts,,
lisk-node,* Number of directories  [5],2.02 k,*
lisk-node,* Maximum path depth     [6],30,***
lisk-node,* Maximum path length    [6],240 B,**
lisk-node,* Number of files        [7],20.0 k,
lisk-node,* Total size of files    [7],194 MiB,
lisk-node,* Number of symlinks     [8],114,
lisk-node,* Number of submodules   [9],3,
kopia,Name,Value,Level of concern
kopia,----------------------------,---------,------------------------------
kopia,Overall repository size,,
kopia,* Commits,,
kopia,* Count,3.61 k,
kopia,* Total size,3.42 MiB,
kopia,* Trees,,
kopia,* Count,14.7 k,
kopia,* Total size,12.6 MiB,
kopia,* Total tree entries,315 k,
kopia,* Blobs,,
kopia,* Count,25.8 k,
kopia,* Total size,343 MiB,
kopia,* Annotated tags,,
kopia,* Count,79,
kopia,* References,,
kopia,* Count,86,
kopia,* Branches,1,
kopia,* Tags,80,
kopia,* Remote-tracking refs,5,
kopia,,,
kopia,Biggest objects,,
kopia,* Commits,,
kopia,* Maximum size         [1],39.6 KiB,
kopia,* Maximum parents      [2],2,
kopia,* Trees,,
kopia,* Maximum entries      [3],1.49 k,*
kopia,* Blobs,,
kopia,* Maximum size         [4],2.29 MiB,
kopia,,,
kopia,History structure,,
kopia,* Maximum history depth,3.51 k,
kopia,* Maximum tag depth      [5],1,
kopia,,,
kopia,Biggest checkouts,,
kopia,* Number of directories  [6],333,
kopia,* Maximum path depth     [6],13,*
kopia,* Maximum path length    [6],146 B,*
kopia,* Number of files        [7],9.13 k,
kopia,* Total size of files    [8],45.5 MiB,
kopia,* Number of symlinks,0,
kopia,* Number of submodules,0,
skydive,Name,Value,Level of concern
skydive,----------------------------,---------,------------------------------
skydive,Overall repository size,,
skydive,* Commits,,
skydive,* Count,5.28 k,
skydive,* Total size,2.39 MiB,
skydive,* Trees,,
skydive,* Count,21.8 k,
skydive,* Total size,12.4 MiB,
skydive,* Total tree entries,357 k,
skydive,* Blobs,,
skydive,* Count,18.0 k,
skydive,* Total size,542 MiB,
skydive,* Annotated tags,,
skydive,* Count,0,
skydive,* References,,
skydive,* Count,38,
skydive,* Branches,1,
skydive,* Tags,30,
skydive,* Remote-tracking refs,7,
skydive,,,
skydive,Biggest objects,,
skydive,* Commits,,
skydive,* Maximum size         [1],3.26 KiB,
skydive,* Maximum parents      [2],2,
skydive,* Trees,,
skydive,* Maximum entries      [3],169,
skydive,* Blobs,,
skydive,* Maximum size         [4],36.6 MiB,***
skydive,,,
skydive,History structure,,
skydive,* Maximum history depth,3.70 k,
skydive,* Maximum tag depth,0,
skydive,,,
skydive,Biggest checkouts,,
skydive,* Number of directories  [5],454,
skydive,* Maximum path depth     [5],13,*
skydive,* Maximum path length    [6],139 B,*
skydive,* Number of files        [5],1.87 k,
skydive,* Total size of files    [7],71.1 MiB,
skydive,* Number of symlinks     [8],4,
skydive,* Number of submodules,0,
porter,Name,Value,Level of concern
porter,----------------------------,---------,------------------------------
porter,Overall repository size,,
porter,* Commits,,
porter,* Count,3.44 k,
porter,* Total size,3.28 MiB,
porter,* Trees,,
porter,* Count,16.1 k,
porter,* Total size,9.24 MiB,
porter,* Total tree entries,252 k,
porter,* Blobs,,
porter,* Count,18.7 k,
porter,* Total size,219 MiB,
porter,* Annotated tags,,
porter,* Count,125,
porter,* References,,
porter,* Count,159,
porter,* Branches,1,
porter,* Tags,144,
porter,* Remote-tracking refs,14,
porter,,,
porter,Biggest objects,,
porter,* Commits,,
porter,* Maximum size         [1],9.29 KiB,
porter,* Maximum parents      [2],2,
porter,* Trees,,
porter,* Maximum entries      [3],253,
porter,* Blobs,,
porter,* Maximum size         [4],4.72 MiB,
porter,,,
porter,History structure,,
porter,* Maximum history depth,2.52 k,
porter,* Maximum tag depth      [5],1,
porter,,,
porter,Biggest checkouts,,
porter,* Number of directories  [6],1.11 k,
porter,* Maximum path depth     [6],14,*
porter,* Maximum path length    [7],145 B,*
porter,* Number of files        [8],4.43 k,
porter,* Total size of files    [9],51.8 MiB,
porter,* Number of symlinks    [10],11,
porter,* Number of submodules,0,
dRonin,Name,Value,Level of concern
dRonin,----------------------------,---------,------------------------------
dRonin,Overall repository size,,
dRonin,* Commits,,
dRonin,* Count,20.7 k,
dRonin,* Total size,6.72 MiB,
dRonin,* Trees,,
dRonin,* Count,124 k,
dRonin,* Total size,81.0 MiB,
dRonin,* Total tree entries,2.12 M,
dRonin,* Blobs,,
dRonin,* Count,68.5 k,
dRonin,* Total size,1.49 GiB,
dRonin,* Annotated tags,,
dRonin,* Count,24,
dRonin,* References,,
dRonin,* Count,34,
dRonin,* Branches,1,
dRonin,* Tags,24,
dRonin,* Remote-tracking refs,9,
dRonin,,,
dRonin,Biggest objects,,
dRonin,* Commits,,
dRonin,* Maximum size         [1],2.64 KiB,
dRonin,* Maximum parents      [2],3,
dRonin,* Trees,,
dRonin,* Maximum entries      [3],247,
dRonin,* Blobs,,
dRonin,* Maximum size         [4],12.6 MiB,*
dRonin,,,
dRonin,History structure,,
dRonin,* Maximum history depth,11.2 k,
dRonin,* Maximum tag depth      [5],1,
dRonin,,,
dRonin,Biggest checkouts,,
dRonin,* Number of directories  [6],954,
dRonin,* Maximum path depth     [7],12,*
dRonin,* Maximum path length    [8],128 B,*
dRonin,* Number of files        [9],7.33 k,
dRonin,* Total size of files   [10],315 MiB,
dRonin,* Number of symlinks    [11],3,
dRonin,* Number of submodules  [12],1,
Prebid.js,Name,Value,Level of concern
Prebid.js,----------------------------,---------,------------------------------
Prebid.js,Overall repository size,,
Prebid.js,* Commits,,
Prebid.js,* Count,11.7 k,
Prebid.js,* Total size,9.93 MiB,
Prebid.js,* Trees,,
Prebid.js,* Count,45.4 k,
Prebid.js,* Total size,406 MiB,
Prebid.js,* Total tree entries,8.58 M,
Prebid.js,* Blobs,,
Prebid.js,* Count,30.1 k,
Prebid.js,* Total size,1.31 GiB,
Prebid.js,* Annotated tags,,
Prebid.js,* Count,2,
Prebid.js,* References,,
Prebid.js,* Count,909,
Prebid.js,* Branches,1,
Prebid.js,* Tags,455,
Prebid.js,* Remote-tracking refs,453,
Prebid.js,,,
Prebid.js,Biggest objects,,
Prebid.js,* Commits,,
Prebid.js,* Maximum size         [1],181 KiB,***
Prebid.js,* Maximum parents      [2],2,
Prebid.js,* Trees,,
Prebid.js,* Maximum entries      [3],1.21 k,*
Prebid.js,* Blobs,,
Prebid.js,* Maximum size         [4],2.62 MiB,
Prebid.js,,,
Prebid.js,History structure,,
Prebid.js,* Maximum history depth,8.93 k,
Prebid.js,* Maximum tag depth      [5],1,
Prebid.js,,,
Prebid.js,Biggest checkouts,,
Prebid.js,* Number of directories  [6],189,
Prebid.js,* Maximum path depth     [6],6,
Prebid.js,* Maximum path length    [7],106 B,*
Prebid.js,* Number of files        [8],2.44 k,
Prebid.js,* Total size of files    [8],21.8 MiB,
Prebid.js,* Number of symlinks,0,
Prebid.js,* Number of submodules,0,
hl.js,Name,Value,Level of concern
hl.js,----------------------------,---------,------------------------------
hl.js,Overall repository size,,
hl.js,* Commits,,
hl.js,* Count,11.7 k,
hl.js,* Total size,3.98 MiB,
hl.js,* Trees,,
hl.js,* Count,47.0 k,
hl.js,* Total size,109 MiB,
hl.js,* Total tree entries,2.47 M,
hl.js,* Blobs,,
hl.js,* Count,101 k,
hl.js,* Total size,2.06 GiB,
hl.js,* Annotated tags,,
hl.js,* Count,0,
hl.js,* References,,
hl.js,* Count,3,
hl.js,* Branches,1,
hl.js,* Remote-tracking refs,2,
hl.js,,,
hl.js,Biggest objects,,
hl.js,* Commits,,
hl.js,* Maximum size         [1],9.11 KiB,
hl.js,* Maximum parents      [2],2,
hl.js,* Trees,,
hl.js,* Maximum entries      [3],977,
hl.js,* Blobs,,
hl.js,* Maximum size         [4],6.03 MiB,
hl.js,,,
hl.js,History structure,,
hl.js,* Maximum history depth,9.48 k,
hl.js,* Maximum tag depth,0,
hl.js,,,
hl.js,Biggest checkouts,,
hl.js,* Number of directories  [5],1.73 k,
hl.js,* Maximum path depth     [6],30,***
hl.js,* Maximum path length    [6],240 B,**
hl.js,* Number of files        [5],16.1 k,
hl.js,* Total size of files    [7],143 MiB,
hl.js,* Number of symlinks     [8],114,
hl.js,* Number of submodules   [9],3,
berry,Name,Value,Level of concern
berry,----------------------------,---------,------------------------------
berry,Overall repository size,,
berry,* Commits,,
berry,* Count,4.40 k,
berry,* Total size,3.30 MiB,
berry,* Trees,,
berry,* Count,48.1 k,
berry,* Total size,105 MiB,
berry,* Total tree entries,1.66 M,
berry,* Blobs,,
berry,* Count,52.3 k,
berry,* Total size,7.98 GiB,
berry,* Annotated tags,,
berry,* Count,4.78 k,
berry,* References,,
berry,* Count,4.88 k,
berry,* Branches,1,
berry,* Tags,4.78 k,
berry,* Remote-tracking refs,92,
berry,,,
berry,Biggest objects,,
berry,* Commits,,
berry,* Maximum size         [1],7.85 KiB,
berry,* Maximum parents      [2],2,
berry,* Trees,,
berry,* Maximum entries      [3],3.03 k,***
berry,* Blobs,,
berry,* Maximum size         [4],91.6 MiB,*********
berry,,,
berry,History structure,,
berry,* Maximum history depth,3.59 k,
berry,* Maximum tag depth      [5],1,
berry,,,
berry,Biggest checkouts,,
berry,* Number of directories  [6],571,
berry,* Maximum path depth     [7],8,
berry,* Maximum path length    [8],212 B,**
berry,* Number of files        [9],4.87 k,
berry,* Total size of files   [10],404 MiB,
berry,* Number of symlinks    [11],391,
berry,* Number of submodules,0,
metrictank,Name,Value,Level of concern
metrictank,----------------------------,---------,------------------------------
metrictank,Overall repository size,,
metrictank,* Commits,,
metrictank,* Count,6.96 k,
metrictank,* Total size,3.10 MiB,
metrictank,* Trees,,
metrictank,* Count,21.9 k,
metrictank,* Total size,15.8 MiB,
metrictank,* Total tree entries,433 k,
metrictank,* Blobs,,
metrictank,* Count,22.2 k,
metrictank,* Total size,265 MiB,
metrictank,* Annotated tags,,
metrictank,* Count,29,
metrictank,* References,,
metrictank,* Count,136,
metrictank,* Branches,1,
metrictank,* Tags,31,
metrictank,* Remote-tracking refs,104,
metrictank,,,
metrictank,Biggest objects,,
metrictank,* Commits,,
metrictank,* Maximum size         [1],16.5 KiB,
metrictank,* Maximum parents      [2],2,
metrictank,* Trees,,
metrictank,* Maximum entries      [3],240,
metrictank,* Blobs,,
metrictank,* Maximum size         [4],17.4 MiB,*
metrictank,,,
metrictank,History structure,,
metrictank,* Maximum history depth,4.87 k,
metrictank,* Maximum tag depth      [5],1,
metrictank,,,
metrictank,Biggest checkouts,,
metrictank,* Number of directories  [6],695,
metrictank,* Maximum path depth     [7],10,*
metrictank,* Maximum path length    [8],125 B,*
metrictank,* Number of files        [9],3.87 k,
metrictank,* Total size of files   [10],46.6 MiB,
metrictank,* Number of symlinks    [11],21,
metrictank,* Number of submodules,0,
litmus,Name,Value,Level of concern
litmus,----------------------------,---------,------------------------------
litmus,Overall repository size,,
litmus,* Commits,,
litmus,* Count,4.11 k,
litmus,* Total size,2.86 MiB,
litmus,* Trees,,
litmus,* Count,45.2 k,
litmus,* Total size,15.9 MiB,
litmus,* Total tree entries,392 k,
litmus,* Blobs,,
litmus,* Count,37.1 k,
litmus,* Total size,1.99 GiB,
litmus,* Annotated tags,,
litmus,* Count,0,
litmus,* References,,
litmus,* Count,199,
litmus,* Branches,1,
litmus,* Tags,105,
litmus,* Remote-tracking refs,93,
litmus,,,
litmus,Biggest objects,,
litmus,* Commits,,
litmus,* Maximum size         [1],24.5 KiB,
litmus,* Maximum parents      [2],2,
litmus,* Trees,,
litmus,* Maximum entries      [3],213,
litmus,* Blobs,,
litmus,* Maximum size         [4],52.3 MiB,*****
litmus,,,
litmus,History structure,,
litmus,* Maximum history depth,2.78 k,
litmus,* Maximum tag depth,0,
litmus,,,
litmus,Biggest checkouts,,
litmus,* Number of directories  [5],979,
litmus,* Maximum path depth     [6],14,*
litmus,* Maximum path length    [7],166 B,*
litmus,* Number of files        [5],3.44 k,
litmus,* Total size of files    [8],84.1 MiB,
litmus,* Number of symlinks     [9],1,
litmus,* Number of submodules  [10],1,
node,Name,Value,Level of concern
node,----------------------------,---------,------------------------------
node,Overall repository size,,
node,* Commits,,
node,* Count,18.5 k,
node,* Total size,9.05 MiB,
node,* Trees,,
node,* Count,78.7 k,
node,* Total size,298 MiB,
node,* Total tree entries,6.24 M,
node,* Blobs,,
node,* Count,171 k,
node,* Total size,3.32 GiB,
node,* Annotated tags,,
node,* Count,0,
node,* References,,
node,* Count,3,
node,* Branches,1,
node,* Remote-tracking refs,2,
node,,,
node,Biggest objects,,
node,* Commits,,
node,* Maximum size         [1],9.11 KiB,
node,* Maximum parents      [2],2,
node,* Trees,,
node,* Maximum entries      [3],1.60 k,*
node,* Blobs,,
node,* Maximum size         [4],6.03 MiB,
node,,,
node,History structure,,
node,* Maximum history depth,16.3 k,
node,* Maximum tag depth,0,
node,,,
node,Biggest checkouts,,
node,* Number of directories  [5],2.24 k,*
node,* Maximum path depth     [6],30,***
node,* Maximum path length    [6],240 B,**
node,* Number of files        [7],22.6 k,
node,* Total size of files    [7],218 MiB,
node,* Number of symlinks     [8],114,
node,* Number of submodules   [9],3,
meshery,Name,Value,Level of concern
meshery,----------------------------,---------,------------------------------
meshery,Overall repository size,,
meshery,* Commits,,
meshery,* Count,39.4 k,
meshery,* Total size,21.1 MiB,
meshery,* Trees,,
meshery,* Count,343 k,
meshery,* Total size,209 MiB,
meshery,* Total tree entries,5.26 M,
meshery,* Blobs,,
meshery,* Count,500 k,
meshery,* Total size,27.0 GiB,**
meshery,* Annotated tags,,
meshery,* Count,0,
meshery,* References,,
meshery,* Count,684,
meshery,* Branches,1,
meshery,* Tags,599,
meshery,* Remote-tracking refs,84,
meshery,,,
meshery,Biggest objects,,
meshery,* Commits,,
meshery,* Maximum size         [1],4.65 KiB,
meshery,* Maximum parents      [2],2,
meshery,* Trees,,
meshery,* Maximum entries      [3],1.62 k,*
meshery,* Blobs,,
meshery,* Maximum size         [4],70.0 MiB,*******
meshery,,,
meshery,History structure,,
meshery,* Maximum history depth,19.8 k,
meshery,* Maximum tag depth,0,
meshery,,,
meshery,Biggest checkouts,,
meshery,* Number of directories  [5],41.0 k,********************
meshery,* Maximum path depth     [5],11,*
meshery,* Maximum path length    [5],195 B,*
meshery,* Number of files        [5],70.6 k,*
meshery,* Total size of files    [5],3.25 GiB,***
meshery,* Number of symlinks,0,
meshery,* Number of submodules   [6],2,
edgex-go,Name,Value,Level of concern
edgex-go,----------------------------,---------,------------------------------
edgex-go,Overall repository size,,
edgex-go,* Commits,,
edgex-go,* Count,6.36 k,
edgex-go,* Total size,4.26 MiB,
edgex-go,* Trees,,
edgex-go,* Count,24.9 k,
edgex-go,* Total size,8.07 MiB,
edgex-go,* Total tree entries,219 k,
edgex-go,* Blobs,,
edgex-go,* Count,27.5 k,
edgex-go,* Total size,428 MiB,
edgex-go,* Annotated tags,,
edgex-go,* Count,261,
edgex-go,* References,,
edgex-go,* Count,278,
edgex-go,* Branches,1,
edgex-go,* Tags,263,
edgex-go,* Remote-tracking refs,14,
edgex-go,,,
edgex-go,Biggest objects,,
edgex-go,* Commits,,
edgex-go,* Maximum size         [1],4.61 KiB,
edgex-go,* Maximum parents      [2],2,
edgex-go,* Trees,,
edgex-go,* Maximum entries      [3],315,
edgex-go,* Blobs,,
edgex-go,* Maximum size         [4],12.1 MiB,*
edgex-go,,,
edgex-go,History structure,,
edgex-go,* Maximum history depth,3.89 k,
edgex-go,* Maximum tag depth      [5],1,
edgex-go,,,
edgex-go,Biggest checkouts,,
edgex-go,* Number of directories  [6],1.22 k,
edgex-go,* Maximum path depth     [6],20,**
edgex-go,* Maximum path length    [6],208 B,**
edgex-go,* Number of files        [6],6.73 k,
edgex-go,* Total size of files    [6],226 MiB,
edgex-go,* Number of symlinks     [7],2,
edgex-go,* Number of submodules,0,
image-spec,Name,Value,Level of concern
image-spec,----------------------------,---------,------------------------------
image-spec,Overall repository size,,
image-spec,* Commits,,
image-spec,* Count,1.38 k,
image-spec,* Total size,813 KiB,
image-spec,* Trees,,
image-spec,* Count,1.79 k,
image-spec,* Total size,1.38 MiB,
image-spec,* Total tree entries,37.7 k,
image-spec,* Blobs,,
image-spec,* Count,1.48 k,
image-spec,* Total size,12.9 MiB,
image-spec,* Annotated tags,,
image-spec,* Count,23,
image-spec,* References,,
image-spec,* Count,28,
image-spec,* Branches,1,
image-spec,* Tags,24,
image-spec,* Remote-tracking refs,3,
image-spec,,,
image-spec,Biggest objects,,
image-spec,* Commits,,
image-spec,* Maximum size         [1],6.10 KiB,
image-spec,* Maximum parents      [2],2,
image-spec,* Trees,,
image-spec,* Maximum entries      [3],35,
image-spec,* Blobs,,
image-spec,* Maximum size         [4],1.05 MiB,
image-spec,,,
image-spec,History structure,,
image-spec,* Maximum history depth,845,
image-spec,* Maximum tag depth      [5],1,
image-spec,,,
image-spec,Biggest checkouts,,
image-spec,* Number of directories  [6],32,
image-spec,* Maximum path depth     [6],6,
image-spec,* Maximum path length    [6],65 B,
image-spec,* Number of files        [6],142,
image-spec,* Total size of files    [7],1.30 MiB,
image-spec,* Number of symlinks,0,
image-spec,* Number of submodules,0,
gdal,Name,Value,Level of concern
gdal,----------------------------,---------,------------------------------
gdal,Overall repository size,,
gdal,* Commits,,
gdal,* Count,79.5 k,
gdal,* Total size,40.5 MiB,
gdal,* Trees,,
gdal,* Count,286 k,
gdal,* Total size,442 MiB,
gdal,* Total tree entries,12.1 M,
gdal,* Blobs,,
gdal,* Count,181 k,
gdal,* Total size,9.73 GiB,*
gdal,* Annotated tags,,
gdal,* Count,204,
gdal,* References,,
gdal,* Count,233,
gdal,* Branches,1,
gdal,* Tags,201,
gdal,* Remote-tracking refs,31,
gdal,,,
gdal,Biggest objects,,
gdal,* Commits,,
gdal,* Maximum size         [1],9.38 KiB,
gdal,* Maximum parents      [2],2,
gdal,* Trees,,
gdal,* Maximum entries      [3],626,
gdal,* Blobs,,
gdal,* Maximum size         [4],47.7 MiB,*****
gdal,,,
gdal,History structure,,
gdal,* Maximum history depth,52.2 k,
gdal,* Maximum tag depth      [5],2,*
gdal,,,
gdal,Biggest checkouts,,
gdal,* Number of directories  [6],956,
gdal,* Maximum path depth     [7],12,*
gdal,* Maximum path length    [8],281 B,**
gdal,* Number of files        [9],10.6 k,
gdal,* Total size of files    [9],161 MiB,
gdal,* Number of symlinks    [10],1,
gdal,* Number of submodules,0,
athenz,Name,Value,Level of concern
athenz,----------------------------,---------,------------------------------
athenz,Overall repository size,,
athenz,* Commits,,
athenz,* Count,3.42 k,
athenz,* Total size,2.20 MiB,
athenz,* Trees,,
athenz,* Count,88.8 k,
athenz,* Total size,20.2 MiB,
athenz,* Total tree entries,549 k,
athenz,* Blobs,,
athenz,* Count,52.6 k,
athenz,* Total size,1.47 GiB,
athenz,* Annotated tags,,
athenz,* Count,293,
athenz,* References,,
athenz,* Count,306,
athenz,* Branches,1,
athenz,* Tags,299,
athenz,* Remote-tracking refs,6,
athenz,,,
athenz,Biggest objects,,
athenz,* Commits,,
athenz,* Maximum size         [1],2.67 KiB,
athenz,* Maximum parents      [2],2,
athenz,* Trees,,
athenz,* Maximum entries      [3],123,
athenz,* Blobs,,
athenz,* Maximum size         [4],27.5 MiB,**
athenz,,,
athenz,History structure,,
athenz,* Maximum history depth,3.22 k,
athenz,* Maximum tag depth      [5],1,
athenz,,,
athenz,Biggest checkouts,,
athenz,* Number of directories  [6],1.23 k,
athenz,* Maximum path depth     [7],17,*
athenz,* Maximum path length    [6],145 B,*
athenz,* Number of files        [6],3.74 k,
athenz,* Total size of files    [8],75.7 MiB,
athenz,* Number of symlinks,0,
athenz,* Number of submodules,0,
node-android-lib,Name,Value,Level of concern
node-android-lib,----------------------------,---------,------------------------------
node-android-lib,Overall repository size,,
node-android-lib,* Commits,,
node-android-lib,* Count,23.1 k,
node-android-lib,* Total size,13.8 MiB,
node-android-lib,* Trees,,
node-android-lib,* Count,99.9 k,
node-android-lib,* Total size,481 MiB,
node-android-lib,* Total tree entries,9.80 M,
node-android-lib,* Blobs,,
node-android-lib,* Count,208 k,
node-android-lib,* Total size,4.10 GiB,
node-android-lib,* Annotated tags,,
node-android-lib,* Count,0,
node-android-lib,* References,,
node-android-lib,* Count,7,
node-android-lib,* Branches,1,
node-android-lib,* Remote-tracking refs,6,
node-android-lib,,,
node-android-lib,Biggest objects,,
node-android-lib,* Commits,,
node-android-lib,* Maximum size         [1],9.11 KiB,
node-android-lib,* Maximum parents      [2],2,
node-android-lib,* Trees,,
node-android-lib,* Maximum entries      [3],1.99 k,*
node-android-lib,* Blobs,,
node-android-lib,* Maximum size         [4],6.03 MiB,
node-android-lib,,,
node-android-lib,History structure,,
node-android-lib,* Maximum history depth,20.8 k,
node-android-lib,* Maximum tag depth,0,
node-android-lib,,,
node-android-lib,Biggest checkouts,,
node-android-lib,* Number of directories  [5],2.78 k,*
node-android-lib,* Maximum path depth     [6],30,***
node-android-lib,* Maximum path length    [6],240 B,**
node-android-lib,* Number of files        [7],30.8 k,
node-android-lib,* Total size of files    [7],253 MiB,
node-android-lib,* Number of symlinks     [8],114,
node-android-lib,* Number of submodules   [9],3,
test-bot,Name,Value,Level of concern
test-bot,----------------------------,---------,------------------------------
test-bot,Overall repository size,,
test-bot,* Commits,,
test-bot,* Count,25.5 k,
test-bot,* Total size,8.21 MiB,
test-bot,* Trees,,
test-bot,* Count,85.6 k,
test-bot,* Total size,58.5 MiB,
test-bot,* Total tree entries,1.62 M,
test-bot,* Blobs,,
test-bot,* Count,48.0 k,
test-bot,* Total size,1.75 GiB,
test-bot,* Annotated tags,,
test-bot,* Count,0,
test-bot,* References,,
test-bot,* Count,12,
test-bot,* Branches,1,
test-bot,* Remote-tracking refs,11,
test-bot,,,
test-bot,Biggest objects,,
test-bot,* Commits,,
test-bot,* Maximum size         [1],5.60 KiB,
test-bot,* Maximum parents      [2],2,
test-bot,* Trees,,
test-bot,* Maximum entries      [3],236,
test-bot,* Blobs,,
test-bot,* Maximum size         [4],3.04 MiB,
test-bot,,,
test-bot,History structure,,
test-bot,* Maximum history depth,12.8 k,
test-bot,* Maximum tag depth,0,
test-bot,,,
test-bot,Biggest checkouts,,
test-bot,* Number of directories  [5],224,
test-bot,* Maximum path depth     [6],11,*
test-bot,* Maximum path length    [6],103 B,*
test-bot,* Number of files        [7],1.89 k,
test-bot,* Total size of files    [8],32.7 MiB,
test-bot,* Number of symlinks     [6],1,
test-bot,* Number of submodules   [6],1,
positron-spidernode,Name,Value,Level of concern
positron-spidernode,----------------------------,---------,------------------------------
positron-spidernode,Overall repository size,,
positron-spidernode,* Commits,,
positron-spidernode,* Count,15.7 k,
positron-spidernode,* Total size,6.27 MiB,
positron-spidernode,* Trees,,
positron-spidernode,* Count,69.3 k,
positron-spidernode,* Total size,186 MiB,
positron-spidernode,* Total tree entries,4.07 M,
positron-spidernode,* Blobs,,
positron-spidernode,* Count,179 k,
positron-spidernode,* Total size,3.44 GiB,
positron-spidernode,* Annotated tags,,
positron-spidernode,* Count,0,
positron-spidernode,* References,,
positron-spidernode,* Count,6,
positron-spidernode,* Branches,1,
positron-spidernode,* Remote-tracking refs,5,
positron-spidernode,,,
positron-spidernode,Biggest objects,,
positron-spidernode,* Commits,,
positron-spidernode,* Maximum size         [1],9.11 KiB,
positron-spidernode,* Maximum parents      [2],2,
positron-spidernode,* Trees,,
positron-spidernode,* Maximum entries      [3],1.35 k,*
positron-spidernode,* Blobs,,
positron-spidernode,* Maximum size         [4],11.1 MiB,*
positron-spidernode,,,
positron-spidernode,History structure,,
positron-spidernode,* Maximum history depth,12.6 k,
positron-spidernode,* Maximum tag depth,0,
positron-spidernode,,,
positron-spidernode,Biggest checkouts,,
positron-spidernode,* Number of directories  [5],4.83 k,**
positron-spidernode,* Maximum path depth     [6],30,***
positron-spidernode,* Maximum path length    [6],240 B,**
positron-spidernode,* Number of files        [5],69.6 k,*
positron-spidernode,* Total size of files    [7],633 MiB,
positron-spidernode,* Number of symlinks     [8],114,
positron-spidernode,* Number of submodules   [9],3,
platform_external_node,Name,Value,Level of concern
platform_external_node,----------------------------,---------,------------------------------
platform_external_node,Overall repository size,,
platform_external_node,* Commits,,
platform_external_node,* Count,14.1 k,
platform_external_node,* Total size,5.50 MiB,
platform_external_node,* Trees,,
platform_external_node,* Count,58.9 k,
platform_external_node,* Total size,160 MiB,
platform_external_node,* Total tree entries,3.52 M,
platform_external_node,* Blobs,,
platform_external_node,* Count,130 k,
platform_external_node,* Total size,2.61 GiB,
platform_external_node,* Annotated tags,,
platform_external_node,* Count,0,
platform_external_node,* References,,
platform_external_node,* Count,4,
platform_external_node,* Branches,1,
platform_external_node,* Remote-tracking refs,3,
platform_external_node,,,
platform_external_node,Biggest objects,,
platform_external_node,* Commits,,
platform_external_node,* Maximum size         [1],9.11 KiB,
platform_external_node,* Maximum parents      [2],2,
platform_external_node,* Trees,,
platform_external_node,* Maximum entries      [3],1.23 k,*
platform_external_node,* Blobs,,
platform_external_node,* Maximum size         [4],6.03 MiB,
platform_external_node,,,
platform_external_node,History structure,,
platform_external_node,* Maximum history depth,11.9 k,
platform_external_node,* Maximum tag depth,0,
platform_external_node,,,
platform_external_node,Biggest checkouts,,
platform_external_node,* Number of directories  [5],2.02 k,*
platform_external_node,* Maximum path depth     [6],30,***
platform_external_node,* Maximum path length    [6],240 B,**
platform_external_node,* Number of files        [7],19.0 k,
platform_external_node,* Total size of files    [8],183 MiB,
platform_external_node,* Number of symlinks     [9],114,
platform_external_node,* Number of submodules  [10],3,
m3,Name,Value,Level of concern
m3,----------------------------,---------,------------------------------
m3,Overall repository size,,
m3,* Commits,,
m3,* Count,8.79 k,
m3,* Total size,3.85 MiB,
m3,* Trees,,
m3,* Count,77.5 k,
m3,* Total size,41.0 MiB,
m3,* Total tree entries,1.08 M,
m3,* Blobs,,
m3,* Count,71.8 k,
m3,* Total size,1.68 GiB,
m3,* Annotated tags,,
m3,* Count,24,
m3,* References,,
m3,* Count,646,
m3,* Branches,1,
m3,* Tags,99,
m3,* Remote-tracking refs,546,
m3,,,
m3,Biggest objects,,
m3,* Commits,,
m3,* Maximum size         [1],7.26 KiB,
m3,* Maximum parents      [2],2,
m3,* Trees,,
m3,* Maximum entries      [3],99,
m3,* Blobs,,
m3,* Maximum size         [4],61.0 MiB,******
m3,,,
m3,History structure,,
m3,* Maximum history depth,4.28 k,
m3,* Maximum tag depth      [5],1,
m3,,,
m3,Biggest checkouts,,
m3,* Number of directories  [6],846,
m3,* Maximum path depth     [7],12,*
m3,* Maximum path length    [7],120 B,*
m3,* Number of files        [6],4.24 k,
m3,* Total size of files    [8],109 MiB,
m3,* Number of symlinks,0,
m3,* Number of submodules   [9],15,
