Repo,Metric,Value,
ITK,* Maximum history depth,47.7 k,
ITK,* Maximum tag depth      [5],1,
ITK,,,
ITK,Biggest checkouts,,
ITK,* Number of directories  [6],1.17 k,
ITK,* Maximum path depth     [7],12,*
ITK,* Maximum path length    [8],144 B,*
ITK,* Number of files        [9],16.6 k,
ITK,* Total size of files   [10],118 MiB,
ITK,* Number of symlinks    [11],2,
ITK,* Number of submodules  [12],3,
crossplane,Name,Value,Level of concern
crossplane,----------------------------,---------,------------------------------
crossplane,Overall repository size,,
crossplane,* Commits,,
crossplane,* Count,8.94 k,
crossplane,* Total size,7.21 MiB,
crossplane,* Trees,,
crossplane,* Count,35.4 k,
crossplane,* Total size,14.1 MiB,
crossplane,* Total tree entries,384 k,
crossplane,* Blobs,,
crossplane,* Count,21.1 k,
crossplane,* Total size,293 MiB,
crossplane,* Annotated tags,,
crossplane,* Count,131,
crossplane,* References,,
crossplane,* Count,165,
crossplane,* Branches,1,
crossplane,* Tags,134,
crossplane,* Remote-tracking refs,30,
crossplane,,,
crossplane,Biggest objects,,
crossplane,* Commits,,
crossplane,* Maximum size         [1],2.48 KiB,
crossplane,* Maximum parents      [2],2,
crossplane,* Trees,,
crossplane,* Maximum entries      [3],41,
crossplane,* Blobs,,
crossplane,* Maximum size         [4],3.09 MiB,
crossplane,,,
crossplane,History structure,,
crossplane,* Maximum history depth,5.12 k,
crossplane,* Maximum tag depth      [5],1,
crossplane,,,
crossplane,Biggest checkouts,,
crossplane,* Number of directories  [6],240,
crossplane,* Maximum path depth     [7],10,*
crossplane,* Maximum path length    [8],119 B,*
crossplane,* Number of files        [9],817,
crossplane,* Total size of files   [10],20.5 MiB,
crossplane,* Number of symlinks,0,
crossplane,* Number of submodules  [11],1,
grafana,Name,Value,Level of concern
grafana,----------------------------,---------,------------------------------
grafana,Overall repository size,,
grafana,* Commits,,
grafana,* Count,30.8 k,
grafana,* Total size,13.4 MiB,
grafana,* Trees,,
grafana,* Count,189 k,
grafana,* Total size,117 MiB,
grafana,* Total tree entries,3.23 M,
grafana,* Blobs,,
grafana,* Count,111 k,
grafana,* Total size,1.96 GiB,
grafana,* Annotated tags,,
grafana,* Count,172,
grafana,* References,,
grafana,* Count,639,
grafana,* Branches,1,
grafana,* Tags,207,
grafana,* Remote-tracking refs,431,
grafana,,,
grafana,Biggest objects,,
grafana,* Commits,,
grafana,* Maximum size         [1],50.4 KiB,*
grafana,* Maximum parents      [2],2,
grafana,* Trees,,
grafana,* Maximum entries      [3],642,
grafana,* Blobs,,
grafana,* Maximum size         [4],62.1 MiB,******
grafana,,,
grafana,History structure,,
grafana,* Maximum history depth,15.9 k,
grafana,* Maximum tag depth      [5],1,
grafana,,,
grafana,Biggest checkouts,,
grafana,* Number of directories  [6],2.51 k,*
grafana,* Maximum path depth     [7],16,*
grafana,* Maximum path length    [7],140 B,*
grafana,* Number of files        [6],10.1 k,
grafana,* Total size of files    [6],151 MiB,
grafana,* Number of symlinks     [8],16,
grafana,* Number of submodules   [9],1,
v4,Name,Value,Level of concern
v4,----------------------------,---------,------------------------------
v4,Overall repository size,,
v4,* Commits,,
v4,* Count,4.36 k,
v4,* Total size,1.75 MiB,
v4,* Trees,,
v4,* Count,14.9 k,
v4,* Total size,8.63 MiB,
v4,* Total tree entries,228 k,
v4,* Blobs,,
v4,* Count,12.0 k,
v4,* Total size,252 MiB,
v4,* Annotated tags,,
v4,* Count,148,
v4,* References,,
v4,* Count,154,
v4,* Branches,1,
v4,* Tags,150,
v4,* Remote-tracking refs,3,
v4,,,
v4,Biggest objects,,
v4,* Commits,,
